epoch,train_loss,composite_acc,symmetric_acc,lr
10,2.898944,0.164444,0.026111,0.00022600
20,1.813591,0.407778,0.006667,0.00024867
30,0.864568,0.597222,0.030556,0.00024413
40,0.404711,0.440556,0.000000,0.00023647
50,0.183766,0.335000,0.000000,0.00022590
60,0.074949,0.112222,0.031667,0.00021272
70,0.034782,0.029444,0.001111,0.00019729
80,0.018555,0.026111,0.000000,0.00018001
90,0.011423,0.013889,0.000000,0.00016138
100,0.007358,0.021111,0.008889,0.00014189
110,0.005189,0.027778,0.000000,0.00012207
120,0.003652,0.017778,0.001667,0.00010247
130,0.002707,0.012778,0.006111,0.00008362
140,0.002088,0.011667,0.003333,0.00006604
150,0.001572,0.012778,0.005556,0.00005020
160,0.001284,0.005556,0.011667,0.00003653
170,0.001089,0.005000,0.013889,0.00002542
180,0.000939,0.006667,0.014444,0.00001716
190,0.000860,0.004444,0.014444,0.00001198
200,0.000802,0.005556,0.015000,0.00001002
