epoch,train_loss,composite_acc,symmetric_acc,lr
10,7.666794,0.016111,0.011667,0.00022600
20,5.063761,0.015000,0.008333,0.00024867
30,4.582158,0.019444,0.021111,0.00024413
40,4.558924,0.004444,0.017222,0.00023647
50,4.530407,0.006667,0.016667,0.00022590
60,4.515451,0.008333,0.014444,0.00021272
70,4.511702,0.014444,0.016667,0.00019729
80,4.510376,0.011667,0.010556,0.00018001
90,4.508925,0.014444,0.005000,0.00016138
100,4.505884,0.008889,0.007222,0.00014189
110,4.501416,0.009444,0.013889,0.00012207
120,4.495758,0.013889,0.011111,0.00010247
130,4.489905,0.011667,0.012222,0.00008362
140,4.483752,0.011111,0.014444,0.00006604
150,4.478505,0.012222,0.014444,0.00005020
160,4.473968,0.011111,0.016667,0.00003653
170,4.470318,0.012222,0.016111,0.00002542
180,4.467680,0.011667,0.016111,0.00001716
190,4.465781,0.012222,0.015000,0.00001198
200,4.464542,0.013333,0.013889,0.00001002
