epoch,train_loss,composite_acc,symmetric_acc,lr
10,4.510047,0.008333,0.008889,0.00022600
20,1.911953,0.100556,0.078333,0.00024867
30,0.712337,0.032778,0.037222,0.00024413
40,0.235648,0.018889,0.013889,0.00023647
50,0.077248,0.018889,0.009444,0.00022590
60,0.027047,0.018889,0.000556,0.00021272
70,0.013074,0.018889,0.001667,0.00019729
80,0.006807,0.018889,0.002222,0.00018001
90,0.003710,0.019444,0.008889,0.00016138
100,0.002207,0.010556,0.001111,0.00014189
110,0.001263,0.022778,0.000556,0.00012207
120,0.000788,0.015000,0.001111,0.00010247
130,0.000456,0.016667,0.001111,0.00008362
140,0.000317,0.016111,0.001111,0.00006604
150,0.000238,0.014444,0.001667,0.00005020
160,0.000185,0.013333,0.001111,0.00003653
170,0.000161,0.011667,0.001111,0.00002542
180,0.000128,0.007778,0.001111,0.00001716
190,0.000114,0.006667,0.001111,0.00001198
200,0.000105,0.006111,0.001111,0.00001002
