epoch,train_loss,composite_acc,symmetric_acc,lr
10,6.953197,0.008333,0.010556,0.00022600
20,4.534938,0.018889,0.002222,0.00024867
30,4.515311,0.009444,0.004444,0.00024413
40,4.512614,0.006111,0.012222,0.00023647
50,4.510609,0.010000,0.002222,0.00022590
60,4.508709,0.003889,0.003333,0.00021272
70,4.507165,0.014444,0.001111,0.00019729
80,4.505564,0.007778,0.005556,0.00018001
90,4.504185,0.012222,0.003333,0.00016138
100,4.502908,0.009444,0.004444,0.00014189
110,4.501674,0.010000,0.003333,0.00012207
120,4.500601,0.007778,0.001111,0.00010247
130,4.499689,0.008333,0.001667,0.00008362
140,4.498848,0.007778,0.002222,0.00006604
150,4.498139,0.006111,0.001667,0.00005020
160,4.497599,0.007222,0.002222,0.00003653
170,4.497249,0.006111,0.002222,0.00002542
180,4.496930,0.006111,0.002778,0.00001716
190,4.496646,0.006111,0.002222,0.00001198
200,4.496577,0.006667,0.002222,0.00001002
