epoch,train_loss,composite_acc,symmetric_acc,lr
10,nan,0.000000,0.000000,0.00022600
20,nan,0.000000,0.000000,0.00024867
30,nan,0.000000,0.000000,0.00024413
40,nan,0.000000,0.000000,0.00023647
50,nan,0.000000,0.000000,0.00022590
60,nan,0.000000,0.000000,0.00021272
70,nan,0.000000,0.000000,0.00019729
80,nan,0.000000,0.000000,0.00018001
90,nan,0.000000,0.000000,0.00016138
100,nan,0.000000,0.000000,0.00014189
110,nan,0.000000,0.000000,0.00012207
120,nan,0.000000,0.000000,0.00010247
130,nan,0.000000,0.000000,0.00008362
140,nan,0.000000,0.000000,0.00006604
150,nan,0.000000,0.000000,0.00005020
160,nan,0.000000,0.000000,0.00003653
170,nan,0.000000,0.000000,0.00002542
180,nan,0.000000,0.000000,0.00001716
190,nan,0.000000,0.000000,0.00001198
200,nan,0.000000,0.000000,0.00001002
